Station_ID;.Address
1;г. Санкт-Петербург, Богатырский проспект, 23
2;г. Санкт-Петербург, Витебский проспект, 9к2 литера А
3;г. Санкт-Петербург, Витебский проспект, 153
4;г. Санкт-Петербург, Витебский проспект, 157
5;г. Санкт-Петербург, Выборгская набережная, 57
6;г. Санкт-Петербург, Выборгское шоссе, 6 Б,лит А
7;г. Санкт-Петербург, Дальневосточный проспект, 20
8;г. Санкт-Петербург, ул. Десантников, 13
9;г. Санкт-Петербург, Ириновский проспект, 16
10;г. Санкт-Петербург, ул. Коллонтай, 8
11;г. Санкт-Петербург, Коломяжский проспект, 19
12;г. Санкт-Петербург, ул. Коммуны, 14 литер А
13;г. Санкт-Петербург, Лапинский проспект, 10
14;г. Санкт-Петербург, Лахтинский проспект, 2к4
15;г. Санкт-Петербург, Лахтинский проспект, 114
16;г. Санкт-Петербург, Ленинский проспект, 61
17;г. Санкт-Петербург, Малый проспект, 79
18;г. Санкт-Петербург, Московское шоссе, М10, слева
19;г. Санкт-Петербург, Московское шоссе, 11, лит.А, М10, справа
20;г. Санкт-Петербург, Московское шоссе, 50, М10, 687-й км, слева
21;г. Санкт-Петербург, Московское шоссе, М10, слева
22;г. Санкт-Петербург, Московское шоссе, 156 А, М10, слева
23;г. Санкт-Петербург, Октябрьская набережная, 38, корп.3
24;г. Санкт-Петербург, Песочная набережная, 30
25;г. Санкт-Петербург, Пискарёвский проспект, 135
26;г. Санкт-Петербург, Приморское шоссе, 142
27;г. Санкт-Петербург, Приморское шоссе, 251
28;г. Санкт-Петербург, промзона «Парнас», 1-й верхний переулок, 3А
29;г. Санкт-Петербург, проспект Маршала Жукова, 23 литер А
30;г. Санкт-Петербург, проспект Обуховской обороны, 138
31;г. Санкт-Петербург, проспект Энгельса, 179
32;г. Санкт-Петербург, Пулковское шоссе, 71, Р23, справа
33;г. Санкт-Петербург, ул. Руставели, 48А
34;г. Санкт-Петербург, ул. Руставели, 54
35;г. Санкт-Петербург, Рябовское шоссе, 115 к. 3, лит. А, а/д «Санкт-Петербург - станция Морье» (А128), справа
36;г. Санкт-Петербург, ул. Салова, 82
37;г. Санкт-Петербург, ул. Седова, 1
38;г. Санкт-Петербург, ул. Софийская
39;г. Санкт-Петербург, Софийская ул., 17А
40;г. Санкт-Петербург, Софийская ул., 60
41;г. Санкт-Петербург, Софийская ул., 77
42;г. Санкт-Петербург, Торфяная дорога, 10 литер А
43;г. Санкт-Петербург, ул. Демьяна Бедного, 15
44;г. Санкт-Петербург, ул. Планерная, 22
45;г. Санкт-Петербург, ул. Студенческая, 15
46;г. Санкт-Петербург, Шафировский проспект, 24А
47;пос. Шушары, Пулковское шоссе, д. 110, лит. А, Р23, слева
